step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,test,0,0.2607421576976776,0.0,20.380012159925645,0.7599966230970878,-1.569979905775853,"(0, 100, 0)"
2,test,0,0.2607177197933197,0.0,20.380012199289116,0.7599965250681886,-1.5699791696211478,"(0, 100, 0)"
3,test,0,0.05882662534713742,0.0,20.38022454662162,0.748190908825573,-1.5184524457593889,"(0, 100, 0)"
4,test,0,0.12226173281669617,0.0,20.384129750761115,0.7175658204559505,-1.3845073261826484,"(0, 100, 0)"
5,test,0,0.0724523663520813,0.06321244284861316,20.38730308836739,0.7023858360644859,-1.3474604595929116,"(0, 100, 0)"
6,test,0,0.3035274147987366,0.06321244284861316,20.396871374186894,0.6639847154225901,-1.3105443642649037,"(0, 100, 0)"
7,test,0,0.32202422618865967,0.06321244284861316,20.407637859876985,0.6257186866383296,-1.2829212948945539,"(0, 100, 0)"
8,test,0,0.29759787768125534,0.06321244284861316,20.419449334411205,0.58780399487962,-1.25486869575192,"(0, 100, 0)"
9,test,0,0.3513471260666847,0.06321244284861316,20.431620851910882,0.5512749481961177,-1.2404842963287528,"(0, 100, 0)"
10,test,0,0.13225827366113663,0.06321244284861316,20.448294068809428,0.5172784197106804,-1.203318356168638,"(0, 100, 0)"
11,test,0,0.2631765678524971,0.02446248751700944,20.460422031924736,0.48401466562696926,-1.1607584838142284,"(0, 100, 0)"
12,test,0,0.30798903852701187,0.02446248751700944,20.475646635939594,0.4487273116688183,-1.1591672618387676,"(0, 100, 0)"
13,test,0,0.3143897140398621,0.02446248751700944,20.4917150557152,0.4122886619674865,-1.152608146218716,"(0, 100, 0)"
14,test,0,0.31662098411470646,0.02446248751700944,20.50796319002163,0.375821014625969,-1.151123255153262,"(0, 100, 0)"
15,test,0,0.3364437008276582,0.02446248751700944,20.523970735261987,0.3398273001679584,-1.1551231426304047,"(0, 100, 0)"
16,test,0,0.3285410488024354,0.02446248751700944,20.54002749161063,0.3034949722936474,-1.154061260207662,"(0, 100, 0)"
17,test,0,0.3302670195698738,0.06920280546610387,20.556214631768615,0.26696636137891794,-1.1530781323629973,"(0, 100, 0)"
18,test,0,0.3524448350071907,0.06920280546610387,20.57196386470651,0.2312066785685831,-1.15660091182942,"(0, 100, 0)"
19,test,0,0.3268223777413368,0.06920280546610387,20.58280160112089,0.19569790062587405,-1.132149306337487,"(0, 100, 0)"
20,test,0,0.32972050458192825,0.06920280546610387,20.599896028464606,0.15945494325085782,-1.127577514530709,"(0, 100, 0)"
21,test,0,0.5425858274102211,0.06920280546610387,20.615332129693538,0.12749750509983643,-1.1331490419666153,"(0, 100, 0)"
22,test,0,0.3198462799191475,0.06920280546610387,20.631025534013823,0.09363058793644256,-1.1355369164505678,"(0, 100, 0)"
23,test,0,0.30567965656518936,0.15739915285253567,20.648038150906252,0.05735358866661847,-1.1270604151489436,"(0, 100, 0)"
24,test,0,0.3160209441557526,0.15739915285253567,20.663662128197924,0.024557531170507962,-1.0963245051895139,"(0, 100, 0)"
25,test,0,0.31710729841142893,0.15739915285253567,20.681642615564165,-0.010483759198914686,-1.0975272244543004,"(0, 100, 0)"
26,test,0,0.29898712784051895,0.15739915285253567,20.69988736207583,-0.046052871404622255,-1.096599818510875,"(0, 100, 0)"
27,test,0,0.3000161424279213,0.15739915285253567,20.718038533866423,-0.08150016767753082,-1.099568079894325,"(0, 100, 0)"
28,test,0,0.2867845371365548,0.15739915285253567,20.736171148935753,-0.11734337777900013,-1.106416596633685,"(0, 100, 0)"
29,test,0,0.5362261310219765,0.2574088085728918,20.752881191871197,-0.14555584527095236,-1.1177699153780978,"(0, 100, 0)"
30,test,0,0.30557678639888763,0.2574088085728918,20.76914135648565,-0.18043346712001043,-1.1476666410429424,"(0, 100, 0)"
31,test,0,0.3715768903493881,0.2574088085728918,20.782435614505626,-0.21091214434370936,-1.155988439531299,"(0, 100, 0)"
32,test,0,0.2670196145772934,0.2574088085728918,20.79610412365051,-0.24393143088665703,-1.1973522688112033,"(0, 100, 0)"
33,test,0,0.3077828735113144,0.2574088085728918,20.810152360441425,-0.2813201861627547,-1.225828258262197,"(0, 100, 0)"
34,test,0,0.4728521555662154,0.2574088085728918,20.822654504963804,-0.31784368012412884,-1.2651840991782382,"(0, 100, 0)"
